amounts (copy),Donor Name,Year Index,amounts,type of Aid
Blue,Norway,2013,1253.037184127,commitments
Blue,AfDB,2013,1385.891156771,commitments
Blue,United Arab Emirates,2013,1821.782,commitments
Blue,AsDB,2013,2258.97,commitments
Blue,France,2013,2377.821316115,commitments
Blue,United States,2013,3836.45995,commitments
Blue,Germany,2013,5017.01522971,commitments
Blue,World Bank,2013,6439.336322382,commitments
Blue,EU Institutions,2013,10141.674508763,commitments
Blue,Japan,2013,10340.037766477,commitments
